,Moive Name,Rating,Votes,Meta Score,Genre,PG Rating,Year,Duration,Cast,Director
0, Argylle,6.0,23000.0,35,"Action, Thriller",NA,NA,NA,"Henry Cavill, Bryce Dallas Howard, Sam Rockwell, Bryan Cranston",Matthew Vaughn
1, The Beekeeper,6.4,51000.0,54,"Action, Thriller",NA,NA,NA,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson",David Ayer
2, A Quiet Place: Day One,NA,NA,NA,NA,NA,NA,NA,NA,NA
3, Miller's Girl,5.3,2400.0,41,"Comedy, Drama",NA,NA,NA,"Martin Freeman, Jenna Ortega, Bashir Salahuddin, Gideon Adlon",Jade Halley Bartlett
4, Orion and the Dark,6.4,7400.0,72,"Animation, Adventure, Comedy",NA,NA,NA,"Jacob Tremblay, Paul Walter Hauser, Colin Hanks, Mia Akemi Brown",Sean Charmatz
5, Madame Web,3.8,13000.0,27,"Action, Adventure, Sci-Fi",NA,NA,NA,"Dakota Johnson, Sydney Sweeney, Isabela Merced, Celeste O'Connor",S.J. Clarkson
6, Dune: Part Two,NA,NA,NA,NA,NA,NA,NA,NA,NA
7, The Ministry of Ungentlemanly Warfare,NA,NA,NA,NA,NA,NA,NA,NA,NA
8, Lisa Frankenstein,6.6,2800.0,47,"Comedy, Horror, Romance",NA,NA,NA,"Kathryn Newton, Liza Soberano, Jenna Davis, Trina LaFargue",Zelda Williams
9, Aquaman and the Lost Kingdom,5.7,56000.0,42,"Action, Adventure, Fantasy",NA,NA,NA,"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II, Amber Heard",James Wan
10, Upgraded,6.1,6800.0,59,"Comedy, Romance",NA,NA,NA,"Camila Mendes, Archie Renaux, Marisa Tomei, Lena Olin",Carlson Young
11, IF,NA,NA,NA,NA,NA,NA,NA,NA,NA
12, Mean Girls,6.2,14000.0,58,"Comedy, Musical",NA,NA,NA,"Angourie Rice, Reneé Rapp, Auli'i Cravalho, Jaquel Spivey",Samantha JayneArturo Perez Jr.
13, Love Lies Bleeding,NA,NA,76,"Action, Adventure, Crime",NA,NA,NA,"Anna Baryshnikov, Kristen Stewart, Dave Franco, Katy O'Brian",Rose Glass
14, Bob Marley: One Love,6.6,3800.0,43,"Biography, Drama, Music",NA,NA,NA,"Kingsley Ben-Adir, Lashana Lynch, James Norton, Tosin Cole",Reinaldo Marcus Green
15, Deadpool & Wolverine,NA,NA,NA,NA,NA,NA,NA,NA,NA
16, Lift,5.5,32000.0,40,"Action, Comedy, Crime",NA,NA,NA,"Kevin Hart, Gugu Mbatha-Raw, Sam Worthington, Vincent D'Onofrio",F. Gary Gray
17, Road House,NA,NA,NA,NA,NA,NA,NA,NA,NA
18, Drive-Away Dolls,NA,NA,NA,NA,NA,NA,NA,NA,NA
19, Longlegs,NA,NA,NA,NA,NA,NA,NA,NA,NA
20, Suncoast,6.6,2300.0,61,Drama,NA,NA,NA,"Nico Parker, Laura Linney, Woody Harrelson, Daniella Taylor",Laura Chinn
21, Megalopolis,NA,NA,NA,NA,NA,NA,NA,NA,NA
22, The Tiger's Apprentice,5.6,853.0,55,"Animation, Action, Adventure",NA,NA,NA,"Henry Golding, Brandon Soo Hoo, Lucy Liu, Sandra Oh",Raman HuiYong Duk JhunPaul Watling
23, Beetlejuice 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
24, Ghostbusters: Frozen Empire,NA,NA,NA,NA,NA,NA,NA,NA,NA
25, Night Swim,4.7,11000.0,43,"Horror, Thriller",NA,NA,NA,"Wyatt Russell, Kerry Condon, Amélie Hoeferle, Gavin Warren",Bryce McGuire
26, Sonic the Hedgehog 3,NA,NA,NA,NA,NA,NA,NA,NA,NA
27, Joker: Folie à Deux,NA,NA,NA,NA,NA,NA,NA,NA,NA
28, The Greatest Night in Pop,8.0,7400.0,69,"Documentary, Music",NA,NA,NA,"Lionel Richie, Harriet Sternberg, Wendy Rees, Harry Belafonte",Bao Nguyen
29, The Underdoggs,5.5,2900.0,39,"Comedy, Sport",NA,NA,NA,"Snoop Dogg, Tika Sumpter, Mike Epps, Elias Ferguson",Charles Stone III
30, The Last Girl,4.5,670.0,NA,NA,NA,NA,NA,NA,NA
31, Bosco,4.6,609.0,NA,NA,NA,NA,NA,NA,NA
32, Despicable Me 4,NA,NA,NA,NA,NA,NA,NA,NA,NA
33, Gladiator 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
34, BC Project,NA,NA,NA,NA,NA,NA,NA,NA,NA
35, Winnie-the-Pooh: Blood and Honey 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
36, Back to Black,NA,NA,NA,NA,NA,NA,NA,NA,NA
37, Imaginary,NA,NA,NA,NA,NA,NA,NA,NA,NA
38, Godzilla x Kong: The New Empire,NA,NA,NA,NA,NA,NA,NA,NA,NA
39, Code 8: Part II,NA,NA,NA,NA,NA,NA,NA,NA,NA
40, Twisters,NA,NA,NA,NA,NA,NA,NA,NA,NA
41, Alien: Romulus,NA,NA,NA,NA,NA,NA,NA,NA,NA
42, The Lord of the Rings: The War of the Rohirrim,NA,NA,NA,NA,NA,NA,NA,NA,NA
43, Lola James,5.2,84.0,NA,NA,NA,NA,NA,NA,NA
44, Furiosa: A Mad Max Saga,NA,NA,NA,NA,NA,NA,NA,NA,NA
45, They Called Him Mostly Harmless,5.9,894.0,NA,NA,NA,NA,NA,NA,NA
46, Baghead,5.4,900.0,NA,NA,NA,NA,NA,NA,NA
47, Moana,NA,NA,NA,NA,NA,NA,NA,NA,NA
48, Kingdom of the Planet of the Apes,NA,NA,NA,NA,NA,NA,NA,NA,NA
49, No Way Up,4.6,727.0,NA,NA,NA,NA,NA,NA,NA
50, Monkey Man,NA,NA,NA,NA,NA,NA,NA,NA,NA
51, Civil War,NA,NA,NA,NA,NA,NA,NA,NA,NA
52, Inside Out 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
53, Wicked,NA,NA,NA,NA,NA,NA,NA,NA,NA
54, Force of Nature: The Dry 2,6.6,396.0,NA,NA,NA,NA,NA,NA,NA
55, The Fantastic Four,NA,NA,NA,NA,NA,NA,NA,NA,NA
56, Calamity Jane,4.1,365.0,NA,NA,NA,NA,NA,NA,NA
57," Lover, Stalker, Killer",7.0,4300.0,NA,NA,NA,NA,NA,NA,NA
58, Nosferatu,NA,NA,NA,NA,NA,NA,NA,NA,NA
59, Land of Bad,6.5,1400.0,57,"Action, Thriller",NA,NA,NA,"Liam Hemsworth, Luke Hemsworth, Ricky Whittle, Chika Ikogwe",William Eubank
60, The Fall Guy,NA,NA,NA,NA,NA,NA,NA,NA,NA
61, Good Grief,6.4,8700.0,59,"Comedy, Drama, Romance",NA,NA,NA,"Dan Levy, Ruth Negga, Himesh Patel, Luke Evans",Dan Levy
62, Abigail,NA,NA,NA,NA,NA,NA,NA,NA,NA
63, Kraven the Hunter,NA,NA,NA,NA,NA,NA,NA,NA,NA
64, The Movie Critic,NA,NA,NA,NA,NA,NA,NA,NA,NA
65, Borderlands,NA,NA,NA,NA,NA,NA,NA,NA,NA
66, Spider-Man: Beyond the Spider-Verse,NA,NA,NA,NA,NA,NA,NA,NA,NA
67, Justice League: Crisis on Infinite Earths - Part One,6.3,3000.0,NA,NA,NA,NA,NA,NA,NA
68, American Star,5.3,863.0,68,Thriller,NA,NA,NA,"Ian McShane, Nora Arnezeder, Oscar Coleman, Pedro Alberto Galindo",Gonzalo López-Gallego
69, Mortal Kombat 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
70, Ordinary Angels,NA,NA,NA,NA,NA,NA,NA,NA,NA
71, Superman: Legacy,NA,NA,NA,NA,NA,NA,NA,NA,NA
72, This Is Me... Now,5.3,1200.0,63,"Music, Musical",NA,NA,NA,"Jennifer Lopez, Fat Joe, Jane Fonda, Ben Affleck",Dave Meyers
73, Challengers,NA,NA,NA,NA,NA,NA,NA,NA,NA
74, How to Train Your Dragon,NA,NA,NA,NA,NA,NA,NA,NA,NA
75, Unfrosted: The Pop-Tart Story,NA,NA,NA,NA,NA,NA,NA,NA,NA
76, Transformers One,NA,NA,NA,NA,NA,NA,NA,NA,NA
77, Beautiful Wedding,4.0,382.0,NA,NA,NA,NA,NA,NA,NA
78, Skeletons in the Closet,3.3,228.0,NA,NA,NA,NA,NA,NA,NA
79, Bad Boys 4,NA,NA,NA,NA,NA,NA,NA,NA,NA
80, Immaculate,NA,NA,NA,NA,NA,NA,NA,NA,NA
81, Constantine 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
82, Mission: Impossible - Dead Reckoning Part Two,NA,NA,NA,NA,NA,NA,NA,NA,NA
83, Snatched a Billionaire to be My Husband,8.6,191.0,NA,NA,NA,NA,NA,NA,NA
84, Damsel,NA,NA,NA,NA,NA,NA,NA,NA,NA
85, Cabrini,NA,NA,NA,NA,NA,NA,NA,NA,NA
86, The Thundermans Return,NA,NA,NA,NA,NA,NA,NA,NA,NA
87, Players,5.6,2700.0,51,"Comedy, Romance",NA,NA,NA,"Gina Rodriguez, Damon Wayans Jr., Tom Ellis, Augustus Prew",Trish Sie
88, The Private Eye,7.5,64.0,NA,NA,NA,NA,NA,NA,NA
89, Mufasa: The Lion King,NA,NA,NA,NA,NA,NA,NA,NA,NA
90, Beverly Hills Cop: Axel F,NA,NA,NA,NA,NA,NA,NA,NA,NA
91, The Batman Part II,NA,NA,NA,NA,NA,NA,NA,NA,NA
92, Kinds of Kindness,NA,NA,NA,NA,NA,NA,NA,NA,NA
93, MaXXXine,NA,NA,NA,NA,NA,NA,NA,NA,NA
94, Wanted Man,4.7,526.0,NA,NA,NA,NA,NA,NA,NA
