,Movie Name,Rating,Votes,Meta Score,Genre,PG Rating,Year,Duration,Cast,Director
0, Madame Web,3.8,27000.0,26,"Action, Adventure, Sci-Fi",12A,2024,1h 56m,"Dakota Johnson, Sydney Sweeney, Isabela Merced, Celeste O'Connor",S.J. Clarkson
1, Borderlands,NA,NA,NA,NA,NA,2024,1h 42m,NA,NA
2, Dune: Part Two,9.1,13000.0,78,"Action, Adventure, Drama",12A,2024,2h 46m,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem",Denis Villeneuve
3, Bob Marley: One Love,6.5,10000.0,43,"Biography, Drama, Music",12A,2024,1h 47m,"Kingsley Ben-Adir, Lashana Lynch, James Norton, Tosin Cole",Reinaldo Marcus Green
4, Land of Bad,6.5,7300.0,57,"Action, Thriller",15,2024,1h 53m,"Liam Hemsworth, Russell Crowe, Luke Hemsworth, Ricky Whittle",William Eubank
5, Deadpool & Wolverine,NA,NA,NA,NA,NA,2024,NA,NA,NA
6, Argylle,6.0,27000.0,35,"Action, Thriller",12A,2024,2h 19m,"Henry Cavill, Bryce Dallas Howard, Sam Rockwell, Bryan Cranston",Matthew Vaughn
7, The Beekeeper,6.4,58000.0,54,"Action, Thriller",15,2024,1h 45m,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson",David Ayer
8, Miller's Girl,5.2,4900.0,41,"Comedy, Drama",15,2024,1h 33m,"Martin Freeman, Jenna Ortega, Bashir Salahuddin, Gideon Adlon",Jade Halley Bartlett
9, Upgraded,6.1,12000.0,59,"Comedy, Romance",15,2024,1h 44m,"Camila Mendes, Archie Renaux, Marisa Tomei, Lena Olin",Carlson Young
10, Drive-Away Dolls,6.1,3000.0,57,"Action, Comedy, Thriller",15,2024,1h 24m,"Margaret Qualley, Geraldine Viswanathan, Beanie Feldstein, Joey Slotnick",Ethan Coen
11, Mean Girls,6.0,18000.0,58,"Comedy, Musical",12A,2024,1h 52m,"Angourie Rice, Reneé Rapp, Auli'i Cravalho, Jaquel Spivey",Samantha JayneArturo Perez Jr.
12, This Is Me... Now,4.7,3300.0,59,"Music, Musical",12,2024,1h 5m,"Jennifer Lopez, Fat Joe, Jane Fonda, Ben Affleck",Dave Meyers
13, Players,5.6,5900.0,52,"Comedy, Romance",15,2024,1h 45m,"Gina Rodriguez, Damon Wayans Jr., Tom Ellis, Augustus Prew",Trish Sie
14, Godzilla x Kong: The New Empire,NA,NA,NA,NA,NA,2024,PG-13,NA,NA
15, Irish Wish,NA,NA,NA,NA,NA,2024,1h 33m,NA,NA
16, Lisa Frankenstein,6.4,5000.0,47,"Comedy, Horror, Romance",15,2024,1h 41m,"Kathryn Newton, Liza Soberano, Jenna Davis, Trina LaFargue",Zelda Williams
